522,308,
534,298,
534,298,
459,289,
459,292,
459,294,
389,317,
396,319,
396,319,
396,319,
359,374,
338,394,
522,264,
560,266,
560,266,
560,267,
574,278,
574,278,
604,263,
604,263,
621,260,
621,261,
656,251,
676,251,
696,270,
718,287,
718,266,
718,254,
718,266,
718,266,
718,266,
741,267,
741,268,
741,268,
792,252,
792,270,
792,277,
792,277,
792,268,
489,291,
489,292,
489,293,
522,292,
353,373,
319,435,
370,367,
370,348,
370,348,
370,355,
656,268,
656,269,
656,262,
656,263,
766,268,
